Hospital,Stage,Year,Births,Deaths,Rate
Vienna General Hospital,After pathological anatomy,1823,2872,214,7.5
Vienna General Hospital,After pathological anatomy,1824,2911,144,4.9
Vienna General Hospital,After pathological anatomy,1825,2594,229,8.8
Vienna General Hospital,After pathological anatomy,1826,2359,192,8.1
Vienna General Hospital,After pathological anatomy,1827,2367,51,2.2
Vienna General Hospital,After pathological anatomy,1828,2833,101,3.6
Vienna General Hospital,After pathological anatomy,1829,3012,140,4.6
Vienna General Hospital,After pathological anatomy,1830,2797,111,4.0
Vienna General Hospital,After pathological anatomy,1831,3353,222,6.6
Vienna General Hospital,After pathological anatomy,1832,3331,105,3.2
Vienna General Hospital,After pathological anatomy,1833,3737,197,5.3
Vienna General Hospital,After pathological anatomy,1834,2657,205,7.7
Vienna General Hospital,After pathological anatomy,1835,2573,143,5.6
Vienna General Hospital,After pathological anatomy,1836,2677,200,7.5
Vienna General Hospital,After pathological anatomy,1837,2765,251,9.1
Vienna General Hospital,After pathological anatomy,1838,2987,91,3.0
Vienna General Hospital,After pathological anatomy,1839,2781,151,5.4
Vienna General Hospital,After pathological anatomy,1840,2889,267,9.2
Vienna General Hospital,Only first clinic,1841,3036,237,7.8
Vienna General Hospital,Only first clinic,1842,3287,518,15.8
Vienna General Hospital,Only first clinic,1843,3060,274,9.0
Vienna General Hospital,Only first clinic,1844,3157,260,8.2
Vienna General Hospital,Only first clinic,1845,3492,241,6.9
Vienna General Hospital,Only first clinic,1846,4010,459,11.4
Vienna General Hospital,Only second clinic,1841,2442,86,3.5
Vienna General Hospital,Only second clinic,1842,2659,202,7.5
Vienna General Hospital,Only second clinic,1843,2739,164,5.9
Vienna General Hospital,Only second clinic,1844,2956,68,2.3
Vienna General Hospital,Only second clinic,1845,3241,66,2.03
Vienna General Hospital,Only second clinic,1846,3754,105,2.7
